outward,easting,northing,lat,lon
PO40,434490,98203,50.782373,-1.512131
PO41,436388,89001,50.699513,-1.486112
PO47,444520,90512,50.712532,-1.370796
PO4O,432588,86200,50.674546,-1.540168
PO5,464934,97910,50.777137,-1.080384
PO6,469407,106361,50.852607,-1.015357
PO7,467105,125477,51.024757,-1.044541
PO8,461554,135883,51.118940,-1.121913
PO9,469265,129725,51.062690,-1.012938
PR1,353444,428712,53.752702,-2.707510
PR2,354512,430705,53.770707,-2.691616
PR25,354778,422510,53.697081,-2.686385
PR26,369040,417233,53.650693,-2.469862
PR3,355865,435238,53.811563,-2.671736
PR4,343545,427798,53.743509,-2.857453
PR5,358025,425759,53.726548,-2.637649
PR54,350704,433520,53.795656,-2.749844
PR6,359242,418004,53.656946,-2.618181
PR7,357370,416646,53.644593,-2.646324
PR73,358272,416608,53.644323,-2.632676
PR8,336101,415129,53.628789,-2.967700
